# 1629 starts of magnitude Vmag<5  from http://vizier.u-strasbg.fr/viz-bin/VizieR-4
# :set tabstop=21
# id	RAJ2000	DEJ2000	name	Vmag
1248	00 01 35.704	-77 03 56.61	the Oct	4.790
805	00 01 57.619	-06 00 50.66	30    Psc	4.400
962	00 03 44.390	-17 20 09.56	2    Cet	4.550
1498	00 04 30.119	-10 30 34.28	3    Cet	4.940
1025	00 05 20.141	-05 42 27.43	33    Psc	4.620
54	00 08 23.259	+29 05 25.56	21alp And	2.060
76	00 09 10.685	+59 08 59.21	11bet Cas	2.280
460	00 09 24.642	-45 44 50.73	eps Phe	3.880
1432	00 11 15.857	-15 28 04.72	6    Cet	4.900
136	00 13 14.153	+15 11 00.95	88gam Peg	2.830
1266	00 14 36.165	+20 12 24.13	89chi Peg	4.800
860	00 14 38.416	-18 55 58.32	7    Cet	4.460
1026	00 17 05.498	+38 40 53.89	24the And	4.620
913	00 18 19.657	+36 47 06.81	25sig And	4.510
304	00 19 25.675	-08 49 26.12	8iot Cet	3.550
645	00 20 04.260	-64 52 29.25	zet Tuc	4.230
134	00 25 45.072	-77 15 15.28	bet Hyi	2.820
493	00 26 12.202	-43 40 47.39	kap Phe	3.950
86	00 26 17.051	-42 18 21.53	alp Phe	2.400
1383	00 27 55.698	-33 00 25.80	eta Scl	4.870
1205	00 31 24.981	-48 48 12.65	lam1Phe	4.760
751	00 31 32.667	-62 57 29.58	bet1Tuc	4.340
914	00 31 33.468	-62 57 56.02	bet2Tuc	4.510
1173	00 31 46.359	+54 31 20.24	14lam Cas	4.740
628	00 32 59.992	+62 55 54.42	15kap Cas	4.190
767	00 36 52.850	+33 43 09.64	29pi  And	4.350
354	00 36 58.285	+53 53 48.87	17zet Cas	3.680
768	00 38 33.346	+29 18 42.30	30eps And	4.350
228	00 39 19.676	+30 51 39.69	31del And	3.270
74	00 40 30.441	+56 32 14.39	18alp Cas	2.250
1001	00 41 19.552	-46 05 06.02	mu  Phe	4.600
1281	00 42 03.896	+50 30 45.09	19xi  Cas	4.810
785	00 43 21.238	-57 27 47.02	eta Phe	4.370
1534	00 43 28.070	+47 01 28.37	20pi  Cas	4.960
53	00 43 35.371	-17 59 11.78	16bet Cet	2.050
1220	00 44 11.401	-10 36 34.38	17phi1Cet	4.770
884	00 44 43.518	+48 17 03.71	22omi Cas	4.480
575	00 47 20.325	+24 16 01.84	34zet And	4.090
824	00 48 40.944	+07 35 06.28	63del Psc	4.420
1445	00 48 50.021	+50 58 05.40	25nu  Cas	4.910
273	00 49 06.291	+57 48 54.67	24eta Cas	3.450
