# pmichel : Magniture<5, no other restrictions
#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2012-08-17T22:04:08 [V1.91 (20-Jun-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.91 (20-Jun-2012)	
#INFO	-ref=VIZ502eb7e02d25	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:V/109&tab:{V/109/sky2kv4}&key:source=V/109/sky2kv4&HTTPPRM:&-ref=VIZ502eb7e02d25&-file=.&-out.add=_r&-out.add=_RAJ,_DEJ&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=SKY2000&-out=HD&-out=Name&-out=Vname&-out=RAJ2000&-sort=RAJ2000&-out=DEJ2000&-out=Vmag&Vmag=3&-out=B-V&-out=U-B&-out=Sp&-ignore=Simbad=*&Simbad=Simbad&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-out.max=9999&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/109/sky2kv4
#-order=I
#-out=Name
#-out=Vname
#-out=RAJ2000
#-sort=RAJ2000
#-out=DEJ2000
#-out=Vmag
#Vmag=<5
#-out=B-V
#-out=v-mag1
#-out=v-mag2
#Simbad=Simbad
#

#RESOURCE=yCat_5109
#Name: V/109
#Title: SKY2000 Catalog, Version 4 (Myers+ 2002)
#Table	V_109_sky2kv4:
#Name: V/109/sky2kv4
#Title: The Sky2000 Version 4 Catalogue
#Column	Name	(a10)	Star name (or AGK3 number)	[ucd=meta.id]
#Column	Vname	(a10)	Variable star name (or doubtful variability)	[ucd=meta.id]
#Column	RAJ2000	(A13)	Right ascension (J2000) hours	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	?Observed visual magnitude (V or v)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	?B-V color (observed)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	v-mag1	(F6.3)	?v - passband #1 color	[ucd=phot.color]
#Column	v-mag2	(F6.3)	?v - passband #2 color	[ucd=phot.color]
Name;Vname;RAJ2000;DEJ2000;Vmag;B-V;v-mag1;v-mag2
 ; ;"h:m:s";"d:m:s";mag;mag;mag;mag
----------;----------;-------------;-------------;------;------;------;------
   the Oct;          ;00 01 35.7037;-77 03 56.608; 4.790; 1.263; 0.990; 1.660
 30    Psc;YY    Psc ;00 01 57.6190;-06 00 50.660; 4.400; 1.579; 1.614; 2.970
  2    Cet;          ;00 03 44.3898;-17 20 09.556; 4.550;-0.043; 0.030;-0.010
  3    Cet;    13    ;00 04 30.1185;-10 30 34.284; 4.940; 1.627; 1.106; 1.980
 33    Psc;BC    Psc ;00 05 20.1409;-05 42 27.426; 4.620; 1.040; 0.775; 1.320
 21alp And;alp   And ;00 08 23.2586;+29 05 25.555; 2.060;-0.043;-0.064;-0.130
 11bet Cas;bet   Cas ;00 09 10.6851;+59 08 59.207; 2.280; 0.376; 0.295; 0.500
   eps Phe;          ;00 09 24.6420;-45 44 50.734; 3.880; 1.019; 0.760; 1.280
  6    Cet;          ;00 11 15.8572;-15 28 04.719; 4.900; 0.486;      ;
 88gam Peg;gam   Peg ;00 13 14.1528;+15 11 00.945; 2.830;-0.230;-0.169;-0.290
 89chi Peg;    99    ;00 14 36.1645;+20 12 24.126; 4.800; 1.542; 1.367; 2.480
  7    Cet;AE    Cet ;00 14 38.4160;-18 55 58.316; 4.460; 1.630; 1.400; 2.540
 24the And;   116    ;00 17 05.4983;+38 40 53.888; 4.620; 0.060; 0.033; 0.090
 25sig And;   118    ;00 18 19.6569;+36 47 06.807; 4.510; 0.072; 0.028; 0.080
  8iot Cet;   123    ;00 19 25.6746;-08 49 26.117; 3.550; 1.214; 0.848; 1.440
   zet Tuc;          ;00 20 04.2601;-64 52 29.246; 4.230; 0.576; 0.500; 0.830
   bet Hyi;   161    ;00 25 45.0719;-77 15 15.284; 2.820; 0.618; 0.510; 0.850
   kap Phe;          ;00 26 12.2018;-43 40 47.386; 3.950; 0.181; 0.150; 0.230
   alp Phe;          ;00 26 17.0510;-42 18 21.533; 2.400; 1.090; 0.820; 1.420
   eta Scl;eta   Scl ;00 27 55.6984;-33 00 25.801; 4.870; 1.603; 1.590; 2.970
   lam1Phe;          ;00 31 24.9807;-48 48 12.652; 4.760; 0.018;      ;
   bet1Tuc;          ;00 31 32.6666;-62 57 29.584; 4.340;-0.047; 0.000;-0.070
   bet2Tuc;          ;00 31 33.4681;-62 57 56.020; 4.510; 0.142; 0.180; 0.260
 14lam Cas; 15106    ;00 31 46.3589;+54 31 20.239; 4.740;-0.091;-0.060;-0.120
 15kap Cas;kap   Cas ;00 32 59.9917;+62 55 54.418; 4.190; 0.088; 0.166; 0.200
 29pi  And;   227    ;00 36 52.8497;+33 43 09.637; 4.350;-0.117;-0.081;-0.160
 17zet Cas;   225    ;00 36 58.2846;+53 53 48.874; 3.680;-0.190;-0.146;-0.290
 30eps And;          ;00 38 33.3458;+29 18 42.305; 4.350; 0.860; 0.684; 1.190
 31del And; 15142    ;00 39 19.6758;+30 51 39.686; 3.270; 1.282; 0.909; 1.580
 18alp Cas;alp   Cas ;00 40 30.4405;+56 32 14.392; 2.250; 1.175; 0.789; 1.380
   mu  Phe;          ;00 41 19.5517;-46 05 06.025; 4.600; 0.959; 0.750; 1.270
 19xi  Cas;   260    ;00 42 03.8955;+50 30 45.093; 4.810;-0.121;-0.054;-0.130
   eta Phe;          ;00 43 21.2384;-57 27 47.016; 4.370;-0.005; 0.060; 0.060
 20pi  Cas;pi    Cas ;00 43 28.0697;+47 01 28.367; 4.960; 0.175; 0.118;
 16bet Cet;   272    ;00 43 35.3711;-17 59 11.777; 2.050; 1.026; 0.736; 1.230
 17phi1Cet;   278    ;00 44 11.4013;-10 36 34.382; 4.770; 1.011; 0.741; 1.250
 22omi Cas;omi   Cas ;00 44 43.5177;+48 17 03.711; 4.480;-0.048; 0.107; 0.000
 34zet And;zet   And ;00 47 20.3254;+24 16 01.841; 4.090; 1.098; 0.829; 1.440
 63del Psc;          ;00 48 40.9443;+07 35 06.285; 4.420; 1.491; 1.145; 2.040
 25nu  Cas;   302    ;00 48 50.0214;+50 58 05.404; 4.910;-0.093;-0.063;
 24eta Cas;eta   Cas ;00 49 06.2912;+57 48 54.674; 3.450; 0.570; 0.509; 0.860
 35nu  And; 15178    ;00 49 48.8473;+41 04 44.079; 4.540;-0.139;-0.099;-0.180
 20    Cet;          ;00 53 00.4943;-01 08 39.337; 4.760; 1.559; 1.208; 2.120
          ;          ;00 53 04.1966;+61 07 26.291; 4.800; 0.558; 0.456; 0.780
 26ups1Cas;          ;00 55 00.1565;+58 58 21.712; 4.820; 1.221; 0.876; 1.530
 28ups2Cas;          ;00 56 39.9051;+59 10 51.800; 4.630; 0.954; 0.718; 1.270
 27gam Cas;gam   Cas ;00 56 42.5317;+60 43 00.265; 2.180;-0.051; 0.087;-0.010
 37mu  And;          ;00 56 45.2116;+38 29 57.641; 3.870; 0.140; 0.102; 0.230
 38eta And;          ;00 57 12.4000;+23 25 03.533; 4.400; 0.948; 0.687; 1.210
   alp Scl;alp   Scl ;00 58 36.3609;-29 21 26.817; 4.310;-0.141;-0.030;-0.160
 71eps Psc;          ;01 02 56.6084;+07 53 24.488; 4.280; 0.957; 0.715; 1.300
   bet Phe;   400    ;01 06 05.0468;-46 43 06.289; 3.320; 0.890; 0.710; 1.210
   zet Phe;zet   Phe ;01 08 23.0818;-55 14 44.737; 3.980;-0.092;-0.010;-0.130
 31eta Cet;          ;01 08 35.3916;-10 10 56.151; 3.460; 1.165; 0.830; 1.410
          ;          ;01 08 44.8773;+86 15 25.525; 4.240; 1.231; 0.859; 1.490
 42phi And; 15249    ;01 09 30.1255;+47 14 30.453; 4.260;-0.059; 0.000;-0.020
 43bet And;   414    ;01 09 43.9236;+35 37 14.008; 2.080; 1.586; 1.271; 2.240
 33the Cas;   423    ;01 11 06.1620;+55 08 59.642; 4.340; 0.179; 0.123; 0.250
 84chi Psc;          ;01 11 27.2202;+21 02 04.740; 4.660; 1.018; 0.724; 1.300
 83tau Psc;          ;01 11 39.6368;+30 05 22.698; 4.520; 1.094; 0.786; 1.400
 85phi Psc;          ;01 13 44.9472;+24 35 01.367; 4.670; 1.045; 0.736; 1.280
   nu  Phe;          ;01 15 11.1210;-45 31 53.991; 4.970; 0.571; 0.490; 0.850
   kap Tuc;   454    ;01 15 46.1608;-68 52 33.338; 4.250; 0.480;      ;
 90ups Psc;          ;01 19 27.9951;+27 15 50.611; 4.750; 0.047; 0.026; 0.130
 46xi  And;          ;01 22 20.4198;+45 31 43.600; 4.870; 1.079; 0.770; 1.340
 45the Cet;          ;01 24 01.4050;-08 10 59.724; 3.610; 1.060; 0.777; 1.320
 46    Cet;          ;01 25 37.2349;-14 35 55.667; 4.910; 1.228;      ;
 37del Cas;del   Cas ;01 25 48.9523;+60 14 07.019; 2.680; 0.157; 0.108; 0.240
 36psi Cas;          ;01 25 56.0217;+68 07 48.045; 4.720; 1.050; 0.760; 1.300
 48ome And;          ;01 27 39.3817;+45 24 24.074; 4.830; 0.435; 0.364; 0.630
   gam Phe;gam   Phe ;01 28 21.9271;-43 19 05.642; 3.440; 1.555; 1.260; 2.240
 98mu  Psc;          ;01 30 11.1151;+06 08 37.754; 4.840; 1.372; 1.049; 1.800
   del Phe;          ;01 31 15.1046;-49 04 21.728; 3.940; 0.977; 0.750; 1.260
 99eta Psc;   532    ;01 31 29.0094;+15 20 44.963; 3.630; 0.969; 0.694; 1.220
